request_id,concurrency,success,status_code,ttft_ms,total_latency_ms,streamed_chunks,output_text,prompt_tokens,completion_tokens,total_tokens,error,tpot_ms
1,64,True,200,195.682726,12601.275738,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.64938436078432
2,64,True,200,195.653939,12600.724937,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.64733724705883
3,64,True,200,195.622728,12600.108767,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.64504329019608
4,64,True,200,221.507519,12649.122444,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.73574480392157
5,64,True,200,221.00196,12648.037036,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.73347088627451
6,64,True,200,220.94732,12647.977857,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.733453086274515
7,64,True,200,165.190755,12548.742879,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.56294950588235
8,64,True,200,581.406693,13020.464849,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.78062021960784
9,64,True,200,581.414752,13020.285342,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.77988466666666
10,64,True,200,579.194817,13019.422402,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.78520621568628
11,64,True,200,577.296961,13019.095465,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.791366682352944
12,64,True,200,576.676377,13018.669011,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.79212797647059
13,64,True,200,629.842054,13033.769882,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.64285422745098
14,64,True,200,629.845079,13033.590674,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.64213958823529
15,64,True,200,625.081769,13033.10751,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.6589244745098
16,64,True,200,624.353732,13032.661577,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.66003076470589
17,64,True,200,625.841561,13032.390837,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.65313441568628
18,64,True,200,626.268719,13032.615022,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.65233844313725
19,64,True,200,691.064964,13041.834076,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.434388674509805
20,64,True,200,689.470366,13041.37228,258,"### Long Context Technical Brief: Serving Large Language Models Under KV Cache Pressure

**Objective:** To evaluate the impact of long contexts on the performance of large language models (LLMs) served under a KVA (Kernel-Value-Aware) caching strategy.

---

#### Overview:
Large language models (LLMs) serve multiple tasks such as answering questions, generating text, and performing complex computations. However, these models often face challenges due to the large amounts of data they process simultaneously. The current benchmark design aims to simulate this scenario by focusing on the computational resources required for long prompts.

---

#### Key Components:

1. **Prefill Phase**: Tokenization and key-value storage are performed at the API boundary.
2. **KV Cache Management**: Memory is allocated based on the number of active tokens, not just the number of requests.
3. **Network Traffic**: The benchmark simulates varying prompt lengths and concurrent requests.
4. **Tokenization and Execution**: Each token attends to the stored context and appends additional KV entries.
5. **Output Tokens**: The number of output tokens increases with longer prompts.

---

#### Benchmark Design:

1. **Prompt Lengths**: The benchmark tests various prompt lengths ranging from short to long.
2. **Concurrent Requests**: Multiple requests are sent",1927,256,2183,,48.438831035294115
